unix,date,symbol,open,high,low,close,volume
1716768000000,05-27-2024,BTCUSDT,68507.67000000,69298.00000000,68321.95000000,68472.00000000,7522.75019000
1716681600000,05-26-2024,BTCUSDT,69290.56000000,69562.23000000,68128.01000000,68507.67000000,11872.11797000
1716595200000,05-25-2024,BTCUSDT,68549.99000000,69610.00000000,68500.00000000,69290.57000000,12130.39418000
1716508800000,05-24-2024,BTCUSDT,67969.66000000,69250.00000000,66600.12000000,68549.99000000,28095.83664000
1716422400000,05-23-2024,BTCUSDT,69166.62000000,70096.12000000,66312.16000000,67969.65000000,40513.17374000
1716336000000,05-22-2024,BTCUSDT,70148.34000000,70666.00000000,68842.19000000,69166.62000000,27673.18026000
1716249600000,05-21-2024,BTCUSDT,71446.62000000,71979.00000000,69162.94000000,70148.34000000,49607.43360000
1716163200000,05-20-2024,BTCUSDT,66274.00000000,71515.56000000,66060.31000000,71446.62000000,50816.70110000
1716076800000,05-19-2024,BTCUSDT,66915.20000000,67700.00000000,65857.25000000,66274.01000000,18025.30409000
1715990400000,05-18-2024,BTCUSDT,67024.00000000,67400.01000000,66600.00000000,66915.20000000,14441.25774000
1715904000000,05-17-2024,BTCUSDT,65235.21000000,67451.20000000,65106.38000000,67024.00000000,26292.23409000
1715817600000,05-16-2024,BTCUSDT,66206.51000000,66752.01000000,64602.77000000,65235.21000000,31106.36710000
1715731200000,05-15-2024,BTCUSDT,61577.49000000,66444.16000000,61319.47000000,66206.50000000,43559.74719000
1715644800000,05-14-2024,BTCUSDT,62940.09000000,63118.36000000,61142.77000000,61577.49000000,29088.72041000
1715558400000,05-13-2024,BTCUSDT,61484.00000000,63450.00000000,60749.21000000,62940.08000000,32733.41839000
1715472000000,05-12-2024,BTCUSDT,60825.99000000,61888.00000000,60610.00000000,61483.99000000,12753.13236000
1715385600000,05-11-2024,BTCUSDT,60799.99000000,61515.00000000,60487.09000000,60825.99000000,13374.56936000
1715299200000,05-10-2024,BTCUSDT,63074.00000000,63469.13000000,60187.12000000,60799.99000000,36529.34025000
1715212800000,05-09-2024,BTCUSDT,61193.03000000,63429.03000000,60630.00000000,63074.01000000,30660.80610000
1715126400000,05-08-2024,BTCUSDT,62312.07000000,63020.22000000,60888.00000000,61193.03000000,26121.19004000
1715040000000,05-07-2024,BTCUSDT,63165.18000000,64422.41000000,62261.00000000,62312.08000000,25598.79472000
1714953600000,05-06-2024,BTCUSDT,64012.00000000,65500.00000000,62700.00000000,63165.19000000,34674.91949000
